Name,ID
Maria Abreu,"['ur.010546130076.50', 'ur.015617737401.58', 'ur.013706624716.01', 'ur.012305525673.48', 'ur.013156623574.86', 'ur.015365505121.40', 'ur.01003457564.55', 'ur.010470203751.07', 'ur.012336354016.14', 'ur.015271404117.45', 'ur.014232301734.46', 'ur.014521034576.16', 'ur.015630307131.57', 'ur.014463016301.39', 'ur.012550372613.54', 'ur.012205246641.43', 'ur.013312262047.31', 'ur.012421112350.10', 'ur.01163330433.50', 'ur.010252303416.14', 'ur.016504441210.13', 'ur.015771376634.07', 'ur.07555734057.74', 'ur.016345333010.79', 'ur.011147507720.42', 'ur.015700326575.65', 'ur.012156735701.04', 'ur.016265712105.62', 'ur.015744131377.86', 'ur.011531115543.31', 'ur.012574700305.22', 'ur.011065554740.99', 'ur.013663355607.21', 'ur.013370136125.41', 'ur.011772607421.06', 'ur.01246763427.62', 'ur.015752530123.36', 'ur.013022311062.76', 'ur.014302730452.13', 'ur.013605351077.87', 'ur.014432704125.63', 'ur.016026232234.44', 'ur.010320460775.44', 'ur.016514026050.17', 'ur.010114724616.43', 'ur.015153443753.43', 'ur.015702150053.33', 'ur.016404311253.18', 'ur.012642616474.76', 'ur.016333705000.33', 'ur.07612463625.61', 'ur.011432123700.76', 'ur.011176230473.49', 'ur.01136040175.39', 'ur.015630530670.42', 'ur.013206656545.45', 'ur.01356552326.71', 'ur.013222414101.62', 'ur.013441107510.48', 'ur.014535310263.59', 'ur.010133120246.01', 'ur.01152757451.92', 'ur.013036644473.73', 'ur.014430451243.91', 'ur.01157115345.18', 'ur.013511621177.15', 'ur.015535007011.91', 'ur.014721053110.03', 'ur.012517067635.37', 'ur.07527716577.44', 'ur.07401106153.99', 'ur.015214126257.19', 'ur.016562322011.14', 'ur.0606477677.70', 'ur.014053257233.72', 'ur.011253136475.92', 'ur.012756450747.57']"
Michael Ackerman,"['ur.0674673006.87', 'ur.011537675453.42', 'ur.01245437506.38', 'ur.0743006206.37', 'ur.01053373506.12', 'ur.01235735306.39', 'ur.01121506706.37', 'ur.01066737006.32', 'ur.0752510406.62', 'ur.011211261513.52', 'ur.0630363421.91', 'ur.013603027503.01', 'ur.07411473663.51', 'ur.01125350006.82', 'ur.01317414006.95', 'ur.012232723567.02', 'ur.01057234606.38', 'ur.010411473643.90', 'ur.01105343776.82', 'ur.01167622106.30', 'ur.0776756407.05', 'ur.014561023777.67', 'ur.012112407041.61', 'ur.0636262006.98', 'ur.015461723401.40', 'ur.01227355747.25', 'ur.07516577664.31', 'ur.07610065542.56', 'ur.014076012632.06', 'ur.0704375206.11', 'ur.01231154027.05', 'ur.01021407040.98', 'ur.0703136646.04', 'ur.012363577247.30', 'ur.0645764206.92', 'ur.0626557606.04', 'ur.0622653300.35', 'ur.01203165406.42', 'ur.01020623606.18', 'ur.01304050506.14', 'ur.012520015756.21', 'ur.016544620061.15', 'ur.010201630440.86', 'ur.015767220777.82', 'ur.01241576406.71', 'ur.01173463206.99', 'ur.015505022361.26', 'ur.013627406531.83', 'ur.01011121406.12', 'ur.014255170401.86', 'ur.01030574671.19', 'ur.01352163706.57', 'ur.07626521657.37']"
David Andes,"['ur.014143702661.23', 'ur.011462532173.43', 'ur.013567220522.16', 'ur.0724231274.33', 'ur.010443450531.52']"
Scott Armstrong,"['ur.015652150273.47', 'ur.015502032777.22', 'ur.016567434432.65', 'ur.015307132065.71', 'ur.01050320524.36', 'ur.013240450004.14', 'ur.01041371505.69', 'ur.0614245736.15', 'ur.010740013103.27', 'ur.01237161626.48', 'ur.012450362135.37', 'ur.015763306327.92', 'ur.0605712636.64', 'ur.011101202065.24', 'ur.014604706273.24', 'ur.015160356520.55', 'ur.011374076571.68', 'ur.01106642306.40', 'ur.011054522453.13', 'ur.012763264465.67', 'ur.01113376645.40']"
R. Barr,"['ur.015750456411.28', 'ur.015011107011.02', 'ur.013623122236.09', 'ur.011067727545.23', 'ur.0661272200.78', 'ur.057306514.49', 'ur.01035007313.21', 'ur.013027012133.54', 'ur.0605037367.19', 'ur.0721227434.24', 'ur.0745066106.34', 'ur.01210125164.80', 'ur.01306132002.01', 'ur.011714666235.38', 'ur.01053041010.79', 'ur.0105763014.29', 'ur.010627512621.50', 'ur.053615120.53', 'ur.011551702303.99', 'ur.01136613552.08', 'ur.011366416357.55', 'ur.010537140777.32', 'ur.0664710161.47', 'ur.015125404463.15', 'ur.013551634725.31', 'ur.013003511053.60', 'ur.016023666273.38', 'ur.014433433107.48', 'ur.01035630444.65', 'ur.01314307004.31', 'ur.0773400203.89', 'ur.052743150.05', 'ur.016267763647.95', 'ur.063346411.22', 'ur.015573746667.92', 'ur.01240410426.20', 'ur.016275403365.83', 'ur.010266311777.20', 'ur.016023063447.97', 'ur.015703763272.00', 'ur.012232344407.03', 'ur.0110611162.77', 'ur.010272233505.21', 'ur.013200460557.30', 'ur.015741665765.53', 'ur.01316704573.86', 'ur.013747203243.38', 'ur.01355365637.59', 'ur.014302262161.27', 'ur.015255775367.22', 'ur.062156211.01', 'ur.014026570353.22', 'ur.013737300147.14', 'ur.015671571155.76', 'ur.012106742467.55', 'ur.073046140.17', 'ur.01253424270.04', 'ur.016643253567.07', 'ur.015033361774.57', 'ur.016115716762.35', 'ur.016675071402.38', 'ur.010741307737.51', 'ur.01123361126.13', 'ur.01357210342.19', 'ur.01061520141.46', 'ur.011612516152.16', 'ur.056215754.18', 'ur.010217452552.08', 'ur.01240736376.67', 'ur.010641436274.52', 'ur.016516757555.13', 'ur.0655016712.32', 'ur.016704034316.71', 'ur.07506340232.21', 'ur.0576554243.13', 'ur.012276151051.28', 'ur.016452426040.68', 'ur.013671250756.58', 'ur.014102111475.27', 'ur.012727754031.30', 'ur.010570467053.52', 'ur.010446547161.17', 'ur.07702564270.46', 'ur.01273117406.30', 'ur.01010213236.10', 'ur.011743013130.88', 'ur.014763766521.28', 'ur.01372703645.57', 'ur.010460423162.51', 'ur.015362263460.55', 'ur.016140301372.22', 'ur.016463741277.30', 'ur.011131300737.14', 'ur.01062034005.30', 'ur.01121027556.26', 'ur.010102474517.77', 'ur.07347546427.30', 'ur.075025540.35', 'ur.0100507452.49', 'ur.064771635.61', 'ur.014206166433.72', 'ur.016004231537.49', 'ur.015045036457.09', 'ur.0722531550.97', 'ur.01202164241.67', 'ur.0102035004.36', 'ur.01217435151.13', 'ur.0754763207.94', 'ur.015430361427.11', 'ur.013044152214.31', 'ur.016667004746.67', 'ur.0652476254.31', 'ur.016532315520.95', 'ur.010222515265.42', 'ur.013104241313.43', 'ur.015401052616.11', 'ur.010171173120.48', 'ur.015344432704.86', 'ur.064422051.64', 'ur.012172206555.35', 'ur.011115446267.53', 'ur.016440173575.36', 'ur.07726636133.09', 'ur.012105074055.31', 'ur.010527122431.01', 'ur.011217756547.54', 'ur.0731554565.54', 'ur.014116327624.27', 'ur.01003073154.39', 'ur.01115400106.70', 'ur.0651737620.11', 'ur.016374166601.58', 'ur.0101537752.93', 'ur.013126635353.13', 'ur.01261415101.04', 'ur.014757751211.93', 'ur.01213767265.59', 'ur.013211354434.75', 'ur.0706623455.55', 'ur.060177714.36', 'ur.0774660473.92', 'ur.014344715053.35', 'ur.0114204744.29', 'ur.0775054567.08', 'ur.012124645532.33', 'ur.01215555744.05', 'ur.010246140075.83', 'ur.014642230753.91', 'ur.010351720465.27', 'ur.0776132402.92', 'ur.013570765761.97', 'ur.01345143415.02', 'ur.047127155.60', 'ur.070372230.54', 'ur.016034332157.08', 'ur.013032307672.87', 'ur.013416704217.24', 'ur.013405554567.23', 'ur.014401214765.26', 'ur.0716153045.14', 'ur.015001140715.81']"
Marcel Behr,"['ur.010114623372.23', 'ur.011723536122.42', 'ur.0654234066.86', 'ur.016245743207.82', 'ur.014701300142.37', 'ur.01323545716.38', 'ur.015236176102.67', 'ur.013316477122.55']"
Daniel Benjamin,"['ur.01042432722.83', 'ur.010502163345.60', 'ur.01200510455.60', 'ur.0646756463.68', 'ur.014401570654.45', 'ur.0647674604.94', 'ur.013725525477.31', 'ur.07773172272.34', 'ur.012630105657.62', 'ur.01160656610.03', 'ur.01051404431.31', 'ur.015356020673.25', 'ur.011226302471.03', 'ur.014745447531.23', 'ur.013164571654.52', 'ur.0640026731.81', 'ur.013107651225.46', 'ur.011047545347.67', 'ur.010131725260.06', 'ur.015016516207.92', 'ur.01250423661.24', 'ur.010640750762.26', 'ur.0754217425.22', 'ur.011113656671.33', 'ur.016674441452.30', 'ur.010341701063.51', 'ur.01352067275.05', 'ur.015010023333.29', 'ur.01011310326.43', 'ur.010666345143.52', 'ur.013663145027.65', 'ur.0741040205.10', 'ur.011015046255.47', 'ur.012605001661.10', 'ur.011367115154.12', 'ur.015113236064.94', 'ur.010303352561.57', 'ur.016415321222.00', 'ur.07525100567.49', 'ur.015636070346.98', 'ur.013163012355.09', 'ur.013575367473.67', 'ur.012131747253.49', 'ur.01171466173.24', 'ur.012352670210.55']"
Ernesto Bernal-Mizrachi,['ur.01101102662.02']
Kirsten Bibbins-Domingo,"['ur.011662117511.24', 'ur.012167550763.44', 'ur.013004370055.80', 'ur.010620043557.11', 'ur.013605637416.58', 'ur.013365041525.99', 'ur.012110041001.14', 'ur.07627667077.61', 'ur.015146032405.83', 'ur.011466507167.37', 'ur.015175000373.61']"
Catherine Bollard,"['ur.01125327571.07', 'ur.014572073642.52', 'ur.016454700103.07']"
